County_Name,State_Name,Land_Area,Population_Density,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019
Marion County,Texas,990,28/sq mi (11/km2),10546,10535,10485,10475,10374,10277,10149,10136,10125,10057,9915,9854
Martin County,Texas,2370,5.2/sq mi (2.0/km2),4799,4799,4809,4884,4980,5272,5462,5646,5616,5531,5681,5771
Mason County,Texas,2410,4.3/sq mi (1.7/km2),4012,4013,4010,4033,4056,4120,4095,4057,4161,4179,4259,4274
Matagorda County,Texas,3000,33/sq mi (13/km2),36702,36702,36709,36681,36544,36500,36478,36766,37088,36805,36566,36643
Maverick County,Texas,3310,42/sq mi (16/km2),54258,54258,54432,55260,55765,56532,57115,57720,58041,58111,58276,58722
Medina County,Texas,3430,38/sq mi (15/km2),46006,45993,46114,46507,46796,47238,47830,48402,49254,50183,50862,51584
Menard County,Texas,2340,2.5/sq mi (1.0/km2),2242,2242,2230,2214,2204,2137,2128,2134,2091,2110,2120,2138
Midland County,Texas,2000,152/sq mi (59/km2),136872,136872,136974,140224,147332,152356,156725,162328,163850,165318,172505,176832
Milam County,Texas,2630,24/sq mi (9/km2),24757,24759,24681,24607,24114,24090,24143,24362,24680,24939,25045,24823
Mills County,Texas,1940,6.6/sq mi (2.5/km2),4936,4941,4968,4883,4832,4872,4872,4889,4884,4917,4883,4873
Mitchell County,Texas,2360,10/sq mi (4/km2),9403,9403,9412,9396,9329,8999,9070,8856,8474,8215,8525,8545
Montague County,Texas,2410,21/sq mi (8/km2),19719,19720,19718,19759,19477,19387,19365,19252,19390,19399,19584,19818
Montgomery County,Texas,2700,498/sq mi (192/km2),455746,455747,459208,471415,484565,498392,517146,535753,555216,571615,589770,607391
Moore County,Texas,2000,24/sq mi (9/km2),21904,21904,22005,22070,22430,22146,21986,21725,21641,21604,21083,20940
Morris County,Texas,650,51/sq mi (20/km2),12934,12934,12919,12770,12703,12680,12606,12370,12429,12375,12303,12388
Motley County,Texas,2600,1.2/sq mi (0.5/km2),1210,1205,1205,1200,1197,1192,1149,1146,1170,1226,1232,1200
Nacogdoches County,Texas,2450,68/sq mi (26/km2),64524,64524,64685,65655,65866,65193,65240,65462,65549,65317,65161,65204
Navarro County,Texas,2600,47/sq mi (18/km2),47735,47840,47869,48074,48163,48036,47913,48181,48405,48739,49536,50113
Newton County,Texas,2420,15/sq mi (6/km2),14445,14445,14448,14563,14434,14341,14292,14158,14160,13908,13751,13595
Nolan County,Texas,2360,17/sq mi (7/km2),15216,15213,15244,15143,14932,15068,15126,15111,15044,14854,14799,14714
Nueces County,Texas,2170,406/sq mi (157/km2),340223,340223,340245,343263,347939,352946,356657,360504,361642,361235,362026,362294
Ochiltree County,Texas,2380,11/sq mi (4/km2),10223,10223,10171,10444,10612,10704,10715,10698,10257,9996,9866,9836
Oldham County,Texas,3890,1.4/sq mi (0.5/km2),2052,2052,2050,2072,2046,2088,2069,2064,2074,2104,2118,2112
Orange County,Texas,870,245/sq mi (95/km2),81837,81837,82012,82341,82887,82811,83244,83955,84549,84971,83474,83396
Palo Pinto County,Texas,2470,30/sq mi (10/km2),28111,28132,28095,28062,27867,27886,28041,27966,28125,28544,28874,29189
Panola County,Texas,2080,30/sq mi (10/km2),23796,23796,23772,24007,24001,23790,23750,23667,23419,23211,23142,23194
Parker County,Texas,2340,129/sq mi (50/km2),116927,116949,117316,118320,119482,119785,122147,125640,128967,133501,138070,142878
Parmer County,Texas,2280,12/sq mi (5/km2),10269,10269,10265,10276,10184,9986,9952,9794,9762,9710,9719,9605
Pecos County,Texas,12340,3.3/sq mi (1.3/km2),15507,15507,15523,15643,15568,15660,15828,16030,15881,15634,15709,15823
Polk County,Texas,2740,46.5/sq mi (18.0/km2),45413,45415,45446,45580,45510,45522,45813,46613,47656,48990,49955,51353
Potter County,Texas,2350,133/sq mi (51/km2),121073,121078,121371,122305,122739,122127,122061,121272,120632,120340,118711,117415
Presidio County,Texas,9980,2.0/sq mi (0.8/km2),7818,7817,7875,7754,7619,7386,7194,7057,7156,7100,6856,6704
Rains County,Texas,590,,10914,10916,10913,11003,10939,11033,11013,11136,11304,11730,12147,12514
Randall County,Texas,2360,147/sq mi (57/km2),120725,120720,121179,123424,124975,126753,128733,130368,132342,134015,135691,137713
Reagan County,Texas,3040,2.9/sq mi (1.1/km2),3367,3367,3353,3393,3477,3633,3785,3807,3726,3712,3736,3849
Real County,Texas,1810,4.7/sq mi (1.8/km2),3309,3309,3322,3431,3352,3318,3347,3297,3399,3417,3477,3452
Red River County,Texas,2690,12/sq mi (5/km2),12860,12862,12874,12682,12723,12487,12445,12345,12179,12164,12143,12023
Reeves County,Texas,6820,5.2/sq mi (2.0/km2),13783,13783,13834,14098,14265,14494,15124,15574,15229,15166,15513,15976
Refugio County,Texas,2000,9.6/sq mi (3.7/km2),7383,7383,7375,7321,7256,7279,7362,7326,7272,7180,7000,6948
Roberts County,Texas,2390,1/sq mi (0.4/km2),929,929,924,926,942,919,914,910,910,941,898,854
Robertson County,Texas,2220,19/sq mi (7/km2),16622,16620,16555,16657,16455,16431,16468,16698,16804,17153,17219,17074
Rockwall County,Texas,330,691/sq mi (267/km2),78337,78345,78919,81045,82710,84670,87064,90170,93421,96824,100546,104915
Runnels County,Texas,2720,10/sq mi (4/km2),10501,10502,10508,10500,10335,10196,10294,10387,10276,10282,10178,10264
Rusk County,Texas,2390,58/sq mi (22/km2),53330,53309,53361,53702,53793,53332,53212,52965,52892,54213,54301,54406
Sabine County,Texas,1270,22/sq mi (8/km2),10834,10836,10871,10727,10524,10424,10428,10440,10381,10417,10576,10542
San Augustine County,Texas,1380,17/sq mi (7/km2),8865,8861,8854,8799,8789,8663,8481,8349,8288,8302,8254,8237
San Jacinto County,Texas,1470,46/sq mi (18/km2),26384,26378,26474,26780,26942,26731,27049,27361,27732,28231,28717,28859
San Patricio County,Texas,1790,93/sq mi (36/km2),64804,64802,64431,64458,65260,66134,66656,67117,67311,67210,66671,66730
San Saba County,Texas,2940,5.4/sq mi (2.1/km2),6131,6130,6134,6047,5990,5960,5858,5922,5922,5996,6060,6055
Schleicher County,Texas,3400,2.6/sq mi (1.0/km2),3461,3461,3503,3310,3259,3191,3164,3195,3057,2989,2880,2793
Scurry County,Texas,2340,19/sq mi (7/km2),16921,16919,16928,16868,17125,17272,17377,17570,17394,17003,16812,16703
Shackelford County,Texas,2370,3.7/sq mi (1.4/km2),3378,3376,3383,3334,3361,3375,3316,3333,3337,3289,3256,3265
Shelby County,Texas,2060,32/sq mi (12/km2),25448,25448,25458,25733,26062,25977,25607,25373,25566,25225,25307,25274
Sherman County,Texas,2390,3.3/sq mi (1.3/km2),3034,3034,3025,3014,3039,3070,3065,3058,3070,3046,3101,3022
Smith County,Texas,2390,228/sq mi (88/km2),209714,209725,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751
Somervell County,Texas,480,46/sq mi (18/km2),8490,8491,8500,8426,8554,8566,8559,8618,8671,8855,9030,9128
Starr County,Texas,3170,50/sq mi (20/km2),60968,60967,61134,61642,61970,62381,62965,63484,63894,64130,64249,64633
Stephens County,Texas,2320,11/sq mi (4/km2),9630,9634,9620,9536,9614,9371,9342,9385,9377,9287,9405,9366
Sterling County,Texas,2390,1.3/sq mi (0.5/km2),1143,1143,1137,1170,1191,1229,1340,1333,1339,1287,1304,1291
Stonewall County,Texas,2370,1.6/sq mi (0.6/km2),1490,1490,1496,1463,1452,1418,1388,1398,1401,1376,1352,1350
Sutton County,Texas,3770,2.8/sq mi (1.1/km2),4128,4128,4062,3987,3916,3982,3969,3915,3886,3792,3752,3776
Swisher County,Texas,2300,8.8/sq mi (3.4/km2),7854,7859,7918,7804,7845,7720,7554,7477,7428,7446,7413,7397
Tarrant County,Texas,2240,"2,095/sq mi (809/km2)",1809034,1810664,1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515
Taylor County,Texas,2371,144/sq mi (56/km2),131506,131515,131835,132853,134084,133927,134987,136133,136257,136634,137294,138034
Terrell County,Texas,6110,0.4/sq mi (0.2/km2),984,984,1011,950,921,891,910,867,818,814,810,776
Terry County,Texas,2300,14/sq mi (5/km2),12651,12651,12682,12661,12632,12713,12795,12759,12770,12429,12344,12337
Throckmorton County,Texas,2360,1.8/sq mi (0.7/km2),1641,1641,1639,1637,1610,1606,1613,1559,1537,1510,1504,1501
Titus County,Texas,1050,80/sq mi (30/km2),32334,32334,32419,32452,32612,32587,32502,32626,32463,32619,32743,32750
Tom Green County,Texas,3940,72/sq mi (28/km2),110224,110228,110678,111751,113307,114680,116319,117514,117634,117566,118014,119200
Travis County,Texas,2600,,1024266,1024444,1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954
Trinity County,Texas,1800,21/sq mi (8/km2),14585,14675,14729,14686,14372,14445,14298,14539,14543,14677,14688,14651
Tyler County,Texas,2400,24/sq mi (9/km2),21766,21760,21764,21674,21504,21508,21468,21370,21423,21517,21609,21672
Upshur County,Texas,1510,67/sq mi (26/km2),39309,39311,39377,39731,39918,39757,40280,40317,40771,41069,41179,41753
Upton County,Texas,3210,2.7/sq mi (1.0/km2),3355,3349,3338,3284,3263,3386,3482,3652,3690,3658,3637,3657
Uvalde County,Texas,4020,17/sq mi (7/km2),26405,26405,26443,26588,26746,26904,27022,26949,27081,27043,26787,26741
Val Verde County,Texas,8150,16/sq mi (6/km2),48879,48879,48971,48972,48976,49044,48845,48891,48911,49028,48988,49025
Van Zandt County,Texas,2180,61/sq mi (24/km2),52579,52552,52579,52487,52207,52328,52781,53430,54367,55163,55966,56590
Victoria County,Texas,2280,98/sq mi (38/km2),86793,86793,86883,87557,89116,90066,91042,92136,92402,92045,91878,92084
Walker County,Texas,2030,87/sq mi (34/km2),67861,67860,68241,68409,68609,69404,70076,70836,71845,72816,73136,72971
Waller County,Texas,1330,84/sq mi (32/km2),43205,43274,43519,44101,44335,45408,46765,48641,50046,51717,53512,55246
Ward County,Texas,2170,13/sq mi (5/km2),10658,10658,10594,10671,10823,11205,11571,11631,11571,11383,11709,11998
Washington County,Texas,1560,56/sq mi (22/km2),33718,33699,33708,33966,33930,34201,34403,34836,34740,34861,35496,35882
Webb County,Texas,8700,82/sq mi (32/km2),250304,250304,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
Wharton County,Texas,2810,38/sq mi (15/km2),41280,41280,41281,41287,41136,41122,41095,41383,41609,41837,41499,41556
Wheeler County,Texas,2370,5.9/sq mi (2.3/km2),5410,5406,5387,5446,5589,5716,5696,5658,5518,5300,5158,5056
Wichita County,Texas,1630,209/sq mi (81/km2),131500,131659,131794,130803,131701,132192,132646,130961,131295,131689,131807,132230
Wilbarger County,Texas,2510,14/sq mi (5/km2),13535,13535,13509,13452,13289,13204,12988,13055,12880,12683,12777,12769
Willacy County,Texas,1530,37/sq mi (14/km2),22134,22136,22225,22167,22208,22019,21935,21863,21761,21508,21450,21358
Williamson County,Texas,2900,378/sq mi (146/km2),422679,422504,426287,442031,455750,470017,487913,507133,527622,546251,566463,590551
Wilson County,Texas,2080,53/sq mi (21/km2),42918,42905,43051,43667,44353,45217,46145,47178,48212,49211,50196,51070
Winkler County,Texas,2180,8.5/sq mi (3.3/km2),7110,7110,7085,7165,7371,7635,7819,8027,7915,7605,7778,8010
Wise County,Texas,2340,64/sq mi (25/km2),59127,59115,59115,59967,60424,61019,61702,62857,64478,65848,68284,69984
Wood County,Texas,1670,60/sq mi (23/km2),41964,41959,41977,42092,42383,42346,42764,43117,43753,44263,45157,45539
Yoakum County,Texas,2000,9.8/sq mi (3.8/km2),7879,7879,7851,7971,8055,8222,8398,8644,8652,8557,8590,8713
Young County,Texas,2370,20/sq mi (7.7/km2),18550,18550,18522,18355,18278,18354,18274,18163,18098,17922,17986,18010
Zapata County,Texas,2580,13/sq mi (5.1/km2),14018,14018,14087,14227,14276,14385,14376,14493,14446,14254,14149,14179
Zavala County,Texas,3360,9.0/sq mi (3.5/km2),11677,11677,11729,11875,12014,12195,12243,12310,12121,11957,11969,11840
Beaver County,Utah,6700,2.6/sq mi (0.99/km2),6629,6629,6655,6559,6500,6457,6432,6353,6478,6421,6625,6710
Box Elder County,Utah,14880,7.4/sq mi (2.9/km2),49975,49983,50175,50239,50201,50727,51300,51826,52975,53977,54906,56046
Cache County,Utah,3020,96/sq mi (37/km2),112656,112656,113386,114781,115895,117025,117894,119697,122201,124236,126400,128289
Carbon County,Utah,3830,14/sq mi (5.6/km2),21403,21403,21403,21305,21222,20903,20636,20391,20324,20131,20233,20463
Daggett County,Utah,1810,1.5/sq mi (0.57/km2),1059,1061,1077,1162,1095,1140,1124,1107,1076,1013,974,950
Davis County,Utah,770,480/sq mi (190/km2),306479,306492,307910,311852,315926,322228,328714,334597,341000,346658,351101,355481
Duchesne County,Utah,8390,5.7/sq mi (2.2/km2),18607,18605,18647,18700,19000,19960,20199,20748,20242,19868,19943,19938
Emery County,Utah,11560,2.5/sq mi (0.95/km2),10976,10976,11005,10985,10939,10759,10638,10359,10206,10006,10003,10012
Garfield County,Utah,13400,0.99/sq mi (0.38/km2),5172,5172,5197,5149,5063,5029,5005,4962,4952,5025,5002,5051
Grand County,Utah,9510,2.5/sq mi (0.97/km2),9225,9224,9312,9298,9358,9376,9481,9551,9622,9589,9686,9754
Iron County,Utah,8540,14/sq mi (5.4/km2),46163,46163,46263,46622,46646,46530,47041,48113,49676,50761,52678,54839
Juab County,Utah,8790,3.0/sq mi (1.2/km2),10246,10246,10264,10313,10295,10261,10410,10551,11016,11293,11629,12017
Kane County,Utah,10300,1.7/sq mi (0.67/km2),7125,7125,7213,7295,7173,7124,7167,7039,7297,7520,7677,7886
Millard County,Utah,17020,1.8/sq mi (0.71/km2),12503,12503,12541,12570,12468,12555,12538,12620,12655,12821,12987,13188
Morgan County,Utah,1580,15/sq mi (6.0/km2),9469,9469,9522,9653,9807,10207,10601,11039,11370,11829,11956,12124
Piute County,Utah,1960,2.0/sq mi (0.78/km2),1556,1557,1565,1499,1497,1488,1467,1491,1459,1407,1438,1479
Rich County,Utah,2670,2.1/sq mi (0.80/km2),2264,2264,2254,2294,2257,2263,2273,2300,2313,2395,2456,2483
Salt Lake County,Utah,1920,"1,300/sq mi (490/km2)",1029655,1029590,1032976,1047610,1063956,1079392,1090005,1102273,1120109,1136719,1148692,1160437
San Juan County,Utah,20300,1.9/sq mi (0.72/km2),14746,14745,14824,14839,15037,14988,15058,15239,15329,15277,15358,15308
Sanpete County,Utah,4100,17/sq mi (6.7/km2),27822,27822,27940,28003,27961,28128,28297,28654,29232,29921,30503,30939
Sevier County,Utah,4950,11/sq mi (4.2/km2),20802,20801,20798,20870,20658,20747,20735,20858,21131,21292,21497,21620
Summit County,Utah,4850,19/sq mi (7.5/km2),36324,36324,36500,37421,37864,38420,39113,39640,40512,41330,41890,42145
Tooele County,Utah,17980,8.0/sq mi (3.1/km2),58218,58218,58502,59190,59792,60633,61442,62639,64612,67486,69989,72259
Uintah County,Utah,11600,7.2/sq mi (2.8/km2),32588,32588,32467,33241,34641,35682,36918,37791,36264,35228,35405,35734
Utah County,Utah,5190,240/sq mi (93/km2),516564,516639,519998,530688,539685,551273,560649,572667,590288,606742,621520,636235
Wasatch County,Utah,3050,20/sq mi (7.5/km2),23530,23525,23644,24408,25344,26584,27814,29118,30375,31890,33067,34091
Washington County,Utah,6280,57/sq mi (22/km2),138115,138115,138389,141249,144139,146987,151081,154650,159352,165929,171567,177556
Wayne County,Utah,6370,1.1/sq mi (0.43/km2),2778,2778,2772,2742,2705,2712,2695,2690,2671,2702,2671,2711
Weber County,Utah,1490,350/sq mi (140/km2),231236,231218,232133,233847,236251,238062,240152,242872,247131,251576,255697,260213
Addison County,Vermont,1980,46/sq mi (18/km2),36821,36818,36823,36969,36899,36934,36932,36929,36931,36900,36873,36777
Bennington County,Vermont,1750,55/sq mi (21/km2),37125,37119,37078,36813,36610,36534,36167,36153,35911,35675,35520,35470
Caledonia County,Vermont,1680,47/sq mi (18/km2),31227,31234,31166,31111,31025,31044,30873,30645,30154,30141,30236,29993
Chittenden County,Vermont,1390,250/sq mi (98/km2),156545,156535,156769,158033,158673,159432,159945,161293,161563,163031,163571,163774
Essex County,Vermont,1720,9.3/sq mi (3.6/km2),6306,6306,6312,6324,6224,6193,6154,6193,6224,6184,6234,6163
Franklin County,Vermont,1640,69/sq mi (27/km2),47746,47759,47821,48228,48317,48407,48763,48988,48963,48969,49258,49402
Grand Isle County,Vermont,210,36/sq mi (14/km2),6970,6970,6948,6974,6972,6988,6968,6871,6921,6975,7110,7235
Lamoille County,Vermont,1190,53/sq mi (20/km2),24475,24473,24515,24707,24945,25111,25130,25240,25331,25360,25295,25362
Orange County,Vermont,1780,42/sq mi (16/km2),28936,28936,28944,29018,28916,28848,28875,28887,28908,28964,28888,28892
Orleans County,Vermont,1790,38/sq mi (15/km2),27231,27234,27245,27195,27165,27135,27024,27034,26766,26811,26859,27037
Rutland County,Vermont,2400,65/sq mi (25/km2),61642,61660,61586,61235,60803,60488,60039,59544,59122,59006,58596,58191
Washington County,Vermont,1780,86/sq mi (33/km2),59534,59524,59570,59591,59407,59218,58961,58652,58355,58253,58079,58409
Windham County,Vermont,2030,56/sq mi (22/km2),44513,44511,44502,44239,43996,43885,43656,43246,43163,42851,42635,42222
Windsor County,Vermont,2510,58/sq mi (22/km2),56670,56658,56600,56612,56138,55993,55727,55541,55345,55224,55204,55062
Accomack County,Virginia,1200,25/sq mi (9.8/km2),33164,33162,33148,33225,33268,32969,32971,32914,32871,32685,32581,32316
Albemarle County,Virginia,1870,140/sq mi (53/km2),98970,98998,99204,100213,101464,102270,103732,105117,106431,107768,108377,109330
Alleghany County,Virginia,1150,36/sq mi (14/km2),16250,16264,16203,16163,16034,15923,15605,15425,15387,15128,14986,14860
Amelia County,Virginia,920,35/sq mi (14/km2),12690,12695,12746,12752,12745,12656,12713,12784,12801,12980,13057,13145
Amherst County,Virginia,1230,68/sq mi (26/km2),32353,32354,32387,32154,32630,32317,32158,31836,31887,31863,31684,31605
Appomattox County,Virginia,860,45/sq mi (17/km2),14973,15028,15098,15109,15246,15320,15348,15492,15528,15723,15881,15911
Arlington County,Virginia,70,"8,000/sq mi (3,100/km2)",207627,207696,209295,215990,221454,224894,225980,228548,231259,234647,236025,236842
Augusta County,Virginia,2500,76/sq mi (29/km2),73750,73753,73584,73648,73588,73842,73881,74292,74834,75177,75535,75558
Bath County,Virginia,1370,8.4/sq mi (3.2/km2),4731,4727,4721,4655,4642,4592,4535,4460,4409,4266,4253,4147
Bedford County,Virginia,1950,89/sq mi (34/km2),68676,74929,75035,75554,75750,76177,77034,77629,77993,78378,78882,78997
Bland County,Virginia,930,19/sq mi (7.3/km2),6824,6824,6799,6773,6692,6673,6583,6532,6472,6354,6303,6280
Botetourt County,Virginia,1400,61/sq mi (23/km2),33148,33152,33199,33005,33123,32994,33080,33380,33252,33313,33352,33419
Brunswick County,Virginia,1470,31/sq mi (12/km2),17434,17426,17402,17127,17032,16984,16825,16845,16618,16570,16336,16231
Buchanan County,Virginia,1300,48/sq mi (18/km2),24098,24102,24084,23824,23822,23625,23152,22752,22212,21604,21369,21004
Buckingham County,Virginia,1500,29/sq mi (11/km2),17146,17140,17091,17213,17068,17150,16931,17017,17051,17038,17043,17148
Campbell County,Virginia,1310,110/sq mi (42/km2),54842,54809,54901,54789,54830,55078,55272,55356,55419,55326,55137,54885
Caroline County,Virginia,1370,53/sq mi (21/km2),28545,28554,28635,28672,28949,29248,29741,29900,30099,30432,30751,30725
Carroll County,Virginia,1230,63/sq mi (24/km2),30042,30072,30071,30092,29916,29909,29711,29870,29789,29812,29741,29791
Charles City County,Virginia,470,36/sq mi (14/km2),7256,7256,7259,7205,7126,7072,6978,7046,7034,7026,7000,6963
Charlotte County,Virginia,1230,26/sq mi (10/km2),12586,12597,12568,12499,12401,12279,12175,12179,12119,12077,11944,11880
Chesterfield County,Virginia,1100,720/sq mi (280/km2),316236,316240,317198,320307,323880,327612,332093,334915,338479,343276,348281,352802
Clarke County,Virginia,460,79/sq mi (30/km2),14034,14025,14012,14190,14245,14253,14315,14239,14294,14454,14511,14619
Craig County,Virginia,900,16/sq mi (6.1/km2),5190,5175,5198,5169,5138,5138,5176,5136,5120,5062,5102,5131
Culpeper County,Virginia,980,120/sq mi (47/km2),46689,46688,46838,47345,47844,48606,49237,49551,50319,51235,51795,52605
Cumberland County,Virginia,770,34/sq mi (13/km2),10052,10039,10028,9985,9841,9848,9839,9756,9745,9828,9857,9932
Dickenson County,Virginia,860,48/sq mi (18/km2),15903,15877,15847,15779,15707,15526,15344,15201,15014,14722,14526,14318
Dinwiddie County,Virginia,1310,55/sq mi (21/km2),28001,28012,28063,28119,28223,28084,28094,28148,28468,28630,28633,28544
Essex County,Virginia,670,39/sq mi (15/km2),11151,11149,11146,11169,11135,11161,11071,11096,11077,10969,10896,10953
Fairfax County,Virginia,1010,"2,700/sq mi (1,000/km2)",1081726,1081703,1086155,1103439,1120395,1131784,1136271,1140401,1144188,1148728,1148463,1147532
Fauquier County,Virginia,1680,100/sq mi (39/km2),65203,65228,65440,66032,66561,67139,68116,68423,68805,69547,70642,71222
Floyd County,Virginia,990,40/sq mi (15/km2),15279,15291,15365,15400,15431,15482,15526,15548,15677,15758,15790,15749
Fluvanna County,Virginia,740,89/sq mi (34/km2),25691,25742,25791,25956,25883,25825,25969,26133,26187,26480,26898,27270
Franklin County,Virginia,1800,79/sq mi (30/km2),56159,56128,56176,56337,56290,56269,56258,56227,56158,56315,56191,56042
Frederick County,Virginia,1070,190/sq mi (73/km2),78305,78269,78550,79512,80229,81474,82714,83493,84638,86456,88173,89313
Giles County,Virginia,920,48/sq mi (19/km2),17286,17286,17316,17151,17022,16988,16849,16762,16827,16754,16799,16720
Gloucester County,Virginia,560,130/sq mi (49/km2),36858,36859,36940,36889,36838,36768,37024,37010,37114,37295,37341,37348
Goochland County,Virginia,730,75/sq mi (29/km2),21717,21692,21744,21374,21273,21565,21849,22165,22485,22703,23219,23753
Grayson County,Virginia,1140,35/sq mi (13/km2),15533,15554,15497,15366,15143,15128,15922,15959,15867,15697,15635,15550
Greene County,Virginia,400,120/sq mi (45/km2),18403,18389,18457,18667,18803,18848,19105,19183,19309,19593,19692,19819
Greensville County,Virginia,760,41/sq mi (16/km2),12243,12245,12234,12001,11745,11689,11564,11786,11500,11569,11432,11336
Halifax County,Virginia,2120,44/sq mi (17/km2),36241,36253,36206,36000,35738,35386,35204,35103,34990,34575,34181,33911
Hanover County,Virginia,1210,220/sq mi (87/km2),99863,99850,99902,99908,100339,101065,101724,103071,104290,105674,106886,107766
Henrico County,Virginia,615.5,"1,300/sq mi (480/km2)",306935,306756,307253,310430,315587,318640,321835,324375,325931,327559,328993,330818
Henry County,Virginia,990,140/sq mi (54/km2),54151,54182,54135,53552,53112,52748,52237,51940,51645,51346,51050,50557
Highland County,Virginia,1070,5.6/sq mi (2.2/km2),2321,2319,2297,2260,2234,2205,2238,2196,2210,2217,2208,2190
Isle of Wight County,Virginia,820,97/sq mi (38/km2),35270,35277,35316,35296,35343,35526,35865,36159,36326,36571,36972,37109
James City County,Virginia,370,370/sq mi (140/km2),67009,67379,67661,68297,69409,70612,72064,72819,73930,75274,76033,76523
King and Queen County,Virginia,820,21/sq mi (8.2/km2),6945,6940,6976,6987,7009,7029,7082,7085,7054,6999,7045,7025
King George County,Virginia,500,130/sq mi (48/km2),23584,23578,23696,24273,24606,24897,25260,25414,25947,26337,26612,26836
King William County,Virginia,710,56/sq mi (22/km2),15935,15927,15999,16014,15977,16092,16149,16282,16405,16684,16919,17148
Lancaster County,Virginia,340,49/sq mi (19/km2),11391,11390,11362,11275,11125,10959,10861,10825,10771,10725,10696,10603
Lee County,Virginia,1130,59/sq mi (23/km2),25587,25589,25605,25544,25428,25080,24724,24595,24165,23900,23656,23423
Loudoun County,Virginia,1340,600/sq mi (230/km2),312311,312348,315478,326327,337847,349915,362206,374014,385546,397049,405522,413538
Louisa County,Virginia,1280,65/sq mi (25/km2),33153,33168,33309,33465,33494,33987,34310,34611,35304,35912,36784,37591
Lunenburg County,Virginia,1120,30/sq mi (12/km2),12914,12916,12910,12911,12638,12532,12482,12348,12319,12333,12215,12196
Madison County,Virginia,830,41/sq mi (16/km2),13308,13306,13300,13141,13132,13090,13030,13047,13081,13212,13248,13261
Mathews County,Virginia,220,36/sq mi (14/km2),8978,8976,8974,8944,8911,8898,8813,8834,8769,8709,8792,8834
Mecklenburg County,Virginia,1620,48/sq mi (19/km2),32727,32716,32708,32560,31686,31239,31104,30922,30813,30693,30624,30587
Middlesex County,Virginia,300,52/sq mi (20/km2),10959,10959,10980,10854,10850,10781,10657,10686,10749,10625,10733,10582
Montgomery County,Virginia,1000,240/sq mi (94/km2),94392,94422,94557,94737,95652,96589,97107,97317,98172,98142,98532,98535
Nelson County,Virginia,1220,32/sq mi (12/km2),15020,15015,14978,15020,14802,14800,14863,14760,14805,14800,14862,14930
New Kent County,Virginia,500,83/sq mi (32/km2),18429,18432,18543,18764,19149,19516,20019,20377,21009,21638,22317,23091
Northampton County,Virginia,550,16/sq mi (6.0/km2),12389,12391,12409,12408,12212,12030,12038,12080,12002,11872,11761,11710
Northumberland County,Virginia,490,43/sq mi (17/km2),12330,12331,12355,12451,12422,12298,12256,12241,12176,12271,12168,12095
Nottoway County,Virginia,810,50/sq mi (19/km2),15853,15853,15840,15894,15756,15637,15511,15606,15495,15432,15400,15232
Orange County,Virginia,880,98/sq mi (38/km2),33481,33554,33578,33994,34275,34620,34923,35178,35354,35870,36598,37051
Page County,Virginia,810,77/sq mi (30/km2),24042,24051,24065,23957,23841,23723,23784,23662,23619,23784,23972,23902
Patrick County,Virginia,1250,38/sq mi (15/km2),18490,18500,18470,18335,18333,18249,18175,17960,17796,17713,17663,17608
Pittsylvania County,Virginia,2510,65/sq mi (25/km2),63506,63469,63586,63262,62895,62554,62371,62010,61704,61309,60901,60354
Powhatan County,Virginia,700,110/sq mi (41/km2),28046,28069,28125,28129,28178,28300,28496,28056,28443,28716,29210,29652
Prince Edward County,Virginia,900,66/sq mi (25/km2),23368,23363,23359,22318,23172,22714,22975,23120,23020,22678,22906,22802
Prince George County,Virginia,690,130/sq mi (49/km2),35725,35715,35642,36716,37123,37333,37415,38246,37972,38006,37993,38353
Prince William County,Virginia,870,"1,200/sq mi (450/km2)",402002,402009,406169,419094,429616,437735,443782,450978,456496,463069,466235,470335
Pulaski County,Virginia,800,110/sq mi (41/km2),34872,34857,34828,34740,34732,34546,34340,34351,34249,34225,34060,34027
Rappahannock County,Virginia,690,28/sq mi (11/km2),7373,7506,7500,7476,7409,7428,7336,7400,7380,7393,7345,7370
Richmond County,Virginia,490,43/sq mi (17/km2),9254,9254,9280,9208,9079,8952,8884,8781,8758,8889,8970,9023
Roanoke County,Virginia,650,370/sq mi (140/km2),92376,92465,92401,92815,92738,93311,93378,93376,93528,93939,94086,94186
Rockbridge County,Virginia,1550,37/sq mi (14/km2),22307,22355,22346,22445,22378,22328,22432,22396,22450,22668,22761,22573
Rockingham County,Virginia,2200,89/sq mi (35/km2),76314,76321,76408,76861,77137,77419,77878,78445,79367,80397,81261,81948
Russell County,Virginia,1230,61/sq mi (23/km2),28897,28923,28878,28683,28427,28336,28077,27854,27422,27046,26795,26586
Scott County,Virginia,1390,43/sq mi (17/km2),23177,23168,23128,23053,22954,22768,22519,22296,22082,21893,21672,21566
Shenandoah County,Virginia,1320,82/sq mi (32/km2),41993,41996,42052,42266,42530,42506,42729,42848,42907,43276,43473,43616
